2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Journalisation initialisée (fichier=/Users/anaselb/Dev/Optimasol-v2.0-local/service.log).
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Journalisation initialisée (fichier=/Users/anaselb/Dev/Optimasol-v2.0-local/service.log).
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Demarrage du service Optimasol.
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Demarrage du service Optimasol.
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | BDD initialisee (path=/Users/anaselb/Dev/Optimasol-v2.0-local/data/optimasol.db)
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | BDD initialisee (path=/Users/anaselb/Dev/Optimasol-v2.0-local/data/optimasol.db)
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Clients charges: 0
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Clients charges: 0
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Drivers demarres.
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Drivers demarres.
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Premiere mise a jour meteo effectuee.
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Premiere mise a jour meteo effectuee.
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Taches periodiques lancees (process=900.0s, meteo=3600.0s, bdd=120.0s, rendement=604800.0s).
2026-01-20 15:48:26 | INFO | MainThread | optimasol.main | Taches periodiques lancees (process=900.0s, meteo=3600.0s, bdd=120.0s, rendement=604800.0s).
Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/Users/anaselb/Dev/Projects/Optimasol-v2.0-local/src/optimasol/main.py", line 12, in <module>
    from .core.client_model import Client
  File "/Users/anaselb/Dev/Projects/Optimasol-v2.0-local/src/optimasol/core/__init__.py", line 1, in <module>
    from .all_clients import AllClients
  File "/Users/anaselb/Dev/Projects/Optimasol-v2.0-local/src/optimasol/core/all_clients.py", line 4, in <module>
    from weather_manager import get_forecast_for_client, Converter
ImportError: cannot import name 'get_forecast_for_client' from 'weather_manager' (/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/site-packages/weather_manager/__init__.py)
Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/Users/anaselb/Dev/Projects/Optimasol-v2.0-local/src/optimasol/main.py", line 12, in <module>
    from .core.client_model import Client
  File "/Users/anaselb/Dev/Projects/Optimasol-v2.0-local/src/optimasol/core/__init__.py", line 1, in <module>
    from .all_clients import AllClients
  File "/Users/anaselb/Dev/Projects/Optimasol-v2.0-local/src/optimasol/core/all_clients.py", line 4, in <module>
    from weather_manager import get_forecast_for_client, Converter
ImportError: cannot import name 'get_forecast_for_client' from 'weather_manager' (/Library/Frameworks/Python.framework/Versions/3.14/lib/python3.14/site-packages/weather_manager/__init__.py)
2026-02-01 20:23:24 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 20:23:24 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 20:23:24 | I | optimasol.main | Configuration chargée et normalisée
2026-02-01 20:23:24 | I | optimasol.main | Base de données initialisée à /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/data/optimasol.db
2026-02-01 20:23:24 | I | optimasol.core.all_clients | Weather information updated successfully
2026-02-01 20:23:24 | I | optimasol.main | Clients chargés: 0
2026-02-01 20:23:24 | I | optimasol.main | Drivers lancés pour tous les clients
2026-02-01 20:23:24 | I | optimasol.main | Boucle principale démarrée (tâches périodiques)
2026-02-01 20:23:24 | I | optimasol.main | Traitement optimisation effectué pour tous les clients
2026-02-01 20:23:24 | I | optimasol.core.all_clients | Starting weather forecast update for 0 leader(s)
2026-02-01 20:23:24 | I | optimasol.core.all_clients | Weather information updated successfully
2026-02-01 20:23:24 | I | optimasol.core.all_clients | Weather forecast update completed: 0/0 leaders updated successfully
2026-02-01 20:23:24 | I | optimasol.tasks | Météo: mise à jour des prévisions réussie
2026-02-01 20:23:24 | I | optimasol.main | Mise à jour météo déclenchée
2026-02-01 20:23:24 | I | optimasol.tasks | Rapports de mesures envoyés à la BDD
2026-02-01 20:23:24 | I | optimasol.main | Synchronisation BDD terminée
2026-02-01 20:23:24 | I | optimasol.main | Correction de rendement effectuée
2026-02-01 20:44:47 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 20:44:47 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 20:45:02 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 20:45:02 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 20:45:02 | I | optimasol.cli | Service démarré (pid=24814)
2026-02-01 20:45:02 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 20:45:02 | I | optimasol.config_loader | Configuration loaded successfully from /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/config.json
2026-02-01 20:45:02 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 20:45:02 | I | optimasol.config_loader | Configuration validated and normalized
2026-02-01 20:45:02 | I | optimasol.main | Configuration chargée et normalisée
2026-02-01 20:45:02 | I | optimasol.main | Configuration chargée et normalisée
2026-02-01 20:45:02 | I | optimasol.main | Base de données initialisée à /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/data/optimasol.db
2026-02-01 20:45:02 | I | optimasol.main | Base de données initialisée à /Users/anaselb/Dev/Projects/Optimasol-v2.0-local/data/optimasol.db
2026-02-01 20:45:02 | I | optimasol.core.all_clients | Weather information updated successfully
2026-02-01 20:45:02 | I | optimasol.core.all_clients | Weather information updated successfully
2026-02-01 20:45:02 | I | optimasol.main | Clients chargés: 0
2026-02-01 20:45:02 | I | optimasol.main | Clients chargés: 0
2026-02-01 20:45:02 | I | optimasol.main | Drivers lancés pour tous les clients
2026-02-01 20:45:02 | I | optimasol.main | Drivers lancés pour tous les clients
